PT08.S1(CO),T,RH,AH
885,10.4,64.8,0.8138
1088,9.7,73.1,0.8772
1358,9.3,77.0,0.9018
1456,9.1,77.1,0.8947
1274,10.6,67.9,0.8666
1092,12.7,56.7,0.8304
1111,13.0,53.9,0.8029
1177,13.9,49.0,0.7727
1199,14.4,49.2,0.8027
1121,14.3,48.6,0.79
1252,13.6,52.8,0.8177
1233,13.1,54.3,0.8167
1215,12.4,59.3,0.853
1193,12.1,61.5,0.8677
1195,12.0,60.8,0.852
1301,11.0,73.8,0.9677
1126,9.6,82.9,0.99
1013,8.6,83.5,0.9372
982,8.7,83.0,0.9393
970,8.8,81.2,0.9214
959,8.9,79.0,0.9032
925,9.0,76.5,0.8828
847,9.0,75.8,0.8721
885,9.1,73.9,0.8576
883,9.4,70.9,0.8386
892,10.1,65.9,0.8148
970,10.1,64.6,0.7967
904,9.3,64.7,0.7575
919,9.9,61.3,0.7499
929,10.6,59.9,0.7674
938,11.1,55.3,0.7325
971,12.0,49.3,0.69
914,11.6,46.8,0.6397
892,12.0,44.0,0.6169
913,11.8,44.3,0.6141
928,11.3,45.4,0.6063
1035,11.3,44.1,0.5909
1033,11.2,45.1,0.5971
990,10.8,47.3,0.6122
934,10.7,47.7,0.6127
881,10.5,46.9,0.5956
855,10.2,45.4,0.5632
832,9.7,46.0,0.5546
848,9.8,45.2,0.5489
806,9.4,45.4,0.5355
796,9.3,44.0,0.5153
777,8.8,45.2,0.5134
785,8.7,45.6,0.5128
766,8.5,44.8,0.498
808,8.7,43.4,0.4905
975,8.5,43.6,0.4865
943,8.8,42.0,0.4773
886,10.8,35.1,0.4549
861,11.7,34.4,0.4712
881,12.6,31.7,0.4613
855,12.5,30.3,0.4367
855,11.4,32.8,0.4424
844,12.1,31.1,0.4383
900,12.3,29.7,0.4226
883,9.8,36.4,0.4414
994,9.3,40.8,0.4781
927,8.6,45.1,0.5038
1078,9.3,41.7,0.4884
952,8.7,44.3,0.4998
882,8.0,47.6,0.5113
924,7.7,47.2,0.4975
987,7.2,50.2,0.5118
930,6.9,50.3,0.5029
861,6.7,50.7,0.4998
783,7.6,46.4,0.4869
744,7.4,45.7,0.4714
753,6.9,49.3,0.4913
787,7.8,48.1,0.5095
820,8.1,47.8,0.5157
840,8.5,46.7,0.5191
897,8.9,44.1,0.5039
989,9.4,42.5,0.5038
909,10.8,36.3,0.4712
865,11.9,30.6,0.4264
924,12.2,29.7,0.4205
912,12.0,31.1,0.434
872,12.7,28.4,0.416
917,13.3,27.5,0.4185
962,11.4,30.8,0.4148
932,9.8,34.0,0.4112
930,9.3,33.6,0.3958
962,9.6,32.3,0.3871
974,9.1,32.5,0.3766
1055,9.1,37.2,0.431
1003,7.8,38.4,0.4085
1046,8.2,40.1,0.4375
1275,5.3,50.7,0.4564
1173,5.9,50.0,0.4689
1163,4.9,53.9,0.4693
1054,4.3,55.3,0.465
1004,4.2,57.1,0.4759
1001,3.5,58.3,0.4636
974,3.0,60.7,0.4667
915,2.6,63.2,0.4721
939,3.9,59.0,0.4807
973,4.7,57.2,0.4932
1011,6.8,48.6,0.4822
1097,8.6,43.6,0.4887
1149,9.5,41.2,0.4908
1117,10.9,35.9,0.468
1085,12.5,32.3,0.467
1102,12.8,32.6,0.4814
1281,10.9,39.7,0.5166
1472,9.0,51.8,0.5961
1328,8.1,54.1,0.5882
1198,7.8,54.6,0.5786
1176,6.2,59.6,0.5698
1118,5.7,59.9,0.5523
1091,5.6,59.7,0.5463
1078,4.7,62.9,0.5424
1043,4.5,63.5,0.5411
992,4.5,63.6,0.5414
1004,3.1,70.0,0.5388
947,3.2,68.3,0.531
923,3.1,69.2,0.5337
911,2.4,71.9,0.5288
924,3.1,68.7,0.5317
954,2.1,73.1,0.5289
960,3.3,68.2,0.5346
1016,4.1,65.8,0.5451
1139,6.6,56.6,0.5528
1130,8.0,51.2,0.5516
1237,10.3,44.9,0.5612
1159,12.3,41.7,0.5961
1124,13.5,41.3,0.6342
1312,13.4,43.1,0.66
1246,9.9,53.3,0.6504
1232,8.9,54.6,0.6226
1286,8.9,54.8,0.6244
1347,8.3,58.2,0.6391
1135,9.5,69.5,0.8261
1188,9.1,70.9,0.8176
1242,8.1,72.1,0.7798
1219,7.9,72.1,0.7679
1187,7.6,72.7,0.7598
1225,7.5,71.7,0.7439
1333,7.9,70.6,0.7562
1489,8.6,69.0,0.7732
1596,9.1,67.5,0.7831
1585,9.8,65.8,0.7967
1674,11.2,61.9,0.8226
1741,12.8,60.1,0.882
1680,13.4,62.4,0.9513
1295,14.3,61.2,0.9941
1288,14.6,59.6,0.9824
1281,14.2,60.0,0.9684
1310,13.8,62.6,0.9862
1276,13.6,64.0,0.9891
1312,13.4,64.5,0.9865
1332,13.5,64.7,0.9971
1248,13.4,65.3,0.9967
1182,13.2,64.5,0.9732
1059,13.2,62.3,0.9392
1056,12.5,63.7,0.9196
1064,12.3,64.6,0.9229
1059,12.5,63.8,0.9244
991,12.6,62.7,0.9121
950,12.0,64.6,0.906
1005,10.7,69.5,0.8919
939,12.4,62.6,0.8994
961,12.3,62.7,0.8947
1017,11.4,66.6,0.8948
1108,11.1,70.2,0.9276
1122,13.4,61.0,0.9348
1099,15.9,52.2,0.9377
1124,15.6,54.0,0.9515
1186,16.3,51.5,0.9462
1096,16.5,50.8,0.9442
1120,16.3,51.9,0.9535
1185,16.2,53.0,0.9687
1173,15.6,54.8,0.966
1221,14.5,57.5,0.944
1330,14.0,60.1,0.9566
1325,13.5,63.0,0.9686
1195,12.6,65.4,0.9529
1150,12.0,67.5,0.9413
1145,10.5,72.0,0.912
1041,10.0,70.9,0.8706
1032,9.8,70.7,0.8571
1010,8.0,75.0,0.8098
951,7.9,75.1,0.805
944,7.0,77.3,0.7782
862,7.2,74.4,0.7581
909,6.7,75.0,0.7418
965,6.4,76.3,0.7389
1102,6.0,78.5,0.7377
1226,6.3,77.4,0.7452
1132,7.7,73.8,0.7769
1183,10.2,61.5,0.7638
1211,11.3,58.1,0.7743
1253,10.6,62.3,0.7981
1311,11.1,62.0,0.8199
1341,12.6,57.7,0.8387
1432,13.3,56.2,0.8548
1404,11.2,65.3,0.8639
1493,8.8,74.6,0.8434
1478,7.2,78.5,0.803
1411,6.5,80.0,0.7789
1387,5.8,83.8,0.7768
1306,5.5,83.5,0.7619
1232,5.8,81.3,0.7568
1277,5.4,82.6,0.7495
1063,6.4,76.3,0.7369
991,7.0,73.6,0.7417
989,7.2,72.3,0.7392
972,7.9,69.3,0.7413
973,7.4,71.7,0.7434
985,7.7,71.9,0.7575
1020,8.1,68.0,0.7396
1192,6.7,77.1,0.7597
1325,6.8,77.9,0.7756
1219,8.9,66.7,0.7634
1195,11.6,54.1,0.7387
1230,13.5,49.4,0.7598
1312,13.8,50.9,0.796
1387,13.4,55.9,0.8588
1375,12.9,59.0,0.8736
1532,13.3,59.0,0.8945
1531,13.0,61.9,0.9224
1479,12.5,63.6,0.9193
1521,12.2,65.8,0.931
1616,12.6,65.2,0.9474
1371,13.3,63.6,0.9681
1198,13.5,62.6,0.9644
1102,14.1,59.6,0.9563
1120,14.0,61.4,0.9773
1093,13.5,63.4,0.9755
1112,13.2,64.2,0.9706
986,13.6,62.2,0.9643
934,13.7,61.1,0.9537
919,13.5,63.8,0.9801
929,12.5,67.3,0.9743
919,13.2,64.2,0.9664
944,13.1,63.4,0.9535
943,13.8,60.5,0.9526
1036,13.7,60.4,0.939
1168,14.0,59.7,0.9495
1232,15.0,56.2,0.9539
1236,16.9,50.9,0.9714
1278,16.6,52.4,0.981
1369,16.4,53.2,0.9826
1182,16.1,52.8,0.9579
1210,15.7,54.4,0.9616
1316,15.4,55.3,0.9616
1221,15.2,54.7,0.9362
1260,14.7,56.6,0.9392
1231,14.4,58.2,0.9495
1115,14.3,59.2,0.9608
1180,14.0,60.4,0.9622
1174,13.7,63.6,0.9912
1178,13.1,68.7,1.0329
1052,13.2,69.9,1.0526
998,12.8,71.2,1.0454
960,12.9,70.4,1.0444
958,12.4,72.5,1.0411
989,13.0,70.3,1.0502
1162,12.3,73.3,1.0448
1523,12.8,71.8,1.0551
1511,13.1,70.2,1.0567
1420,12.8,71.8,1.0551
1413,13.1,70.3,1.0566
1335,13.7,67.0,1.0446
1451,14.0,65.4,1.0427
1410,14.4,63.8,1.0421
1429,14.1,65.9,1.0531
1409,14.1,65.9,1.0552
1372,14.1,66.0,1.0539
1366,14.0,66.4,1.0536
1365,13.8,66.4,1.0451
1385,13.4,68.1,1.0441
1361,13.2,69.1,1.0452
1312,13.0,70.0,1.042
1177,12.7,69.9,1.0223
1205,12.0,71.9,1.0071
1114,13.2,66.8,1.0087
1047,12.4,69.5,0.9986
982,13.1,65.7,0.9858
992,11.8,70.6,0.9731
977,12.3,68.0,0.9734
1047,12.0,69.2,0.9697
1126,11.7,69.8,0.9612
1474,12.1,67.6,0.95
1526,12.5,65.1,0.9399
1386,12.8,62.5,0.9213
1392,13.4,59.9,0.9143
1363,13.4,57.9,0.8895
1331,13.6,56.4,0.8754
1401,13.8,56.3,0.8841
1374,13.7,57.9,0.9063
1436,13.6,58.9,0.9139
1386,13.4,59.7,0.9142
1419,13.3,61.2,0.933
1428,13.2,61.8,0.9313
1508,12.9,61.5,0.9139
1438,12.6,63.9,0.9307
1415,12.0,67.4,0.9417
1433,11.9,69.0,0.9568
1208,12.0,66.6,0.9293
1280,11.4,69.6,0.9373
1174,11.2,70.3,0.9323
1022,11.5,68.2,0.9271
1002,10.7,71.3,0.9161
1018,10.0,74.8,0.9161
1095,9.2,78.5,0.9143
1182,8.8,79.4,0.9033
1478,8.7,79.4,0.8944
1515,8.9,76.5,0.8767
1488,9.9,73.3,0.8936
1383,11.8,65.5,0.901
1383,13.0,60.9,0.9061
1337,14.7,52.3,0.8687
1243,15.1,49.6,0.8428
1304,15.7,48.8,0.8657
1284,15.8,48.9,0.8707
1303,14.6,54.0,0.8946
1461,14.3,56.3,0.9119
1517,14.1,57.8,0.9262
1526,13.1,62.9,0.943
1495,12.0,67.5,0.9467
1333,10.7,70.9,0.9113
1216,10.0,73.2,0.8988
1232,9.4,75.0,0.8874
1181,8.5,76.9,0.8557
1042,8.4,75.9,0.8407
1027,6.9,80.7,0.8054
915,6.2,82.1,0.7825
891,7.0,77.3,0.7759
937,6.5,79.7,0.7751
1086,7.7,76.8,0.8112
1326,8.2,74.9,0.8184
1469,8.8,73.2,0.8298
1321,9.7,70.1,0.8432
1396,11.7,62.7,0.8586
1270,13.1,58.5,0.877
1189,14.2,54.1,0.8707
1227,14.2,54.3,0.8757
1266,14.0,56.3,0.894
1277,13.5,57.8,0.8933
1438,12.3,63.0,0.9015
1523,11.4,68.0,0.9166
1384,10.8,69.5,0.8995
1283,11.0,67.1,0.8766
1304,9.5,71.3,0.8458
1126,8.8,71.0,0.8089
1141,8.0,73.4,0.7899
1183,7.6,73.0,0.7629
1090,7.1,73.9,0.7515
1032,7.1,73.5,0.7439
940,6.7,75.0,0.739
981,5.1,81.3,0.7204
1104,4.3,82.9,0.6968
989,5.3,80.4,0.7234
1079,5.7,79.3,0.7326
1472,6.8,74.8,0.7423
1313,6.9,75.2,0.7505
1363,8.0,71.9,0.7712
1347,9.3,67.1,0.7849
1240,10.2,63.6,0.7928
1280,11.0,60.9,0.7966
1210,11.3,60.1,0.8022
1216,12.2,56.9,0.8068
1320,11.9,59.1,0.8211
1477,10.3,66.3,0.8286
1500,8.2,74.9,0.8187
1512,7.9,77.1,0.8223
1496,8.3,75.0,0.8253
1360,8.2,75.2,0.8185
1024,8.3,69.7,0.7632
1094,6.7,74.4,0.7344
1111,6.4,74.9,0.7238
1097,4.9,80.1,0.7011
1051,4.8,79.4,0.6872
979,3.3,82.6,0.645
978,2.4,86.6,0.6369
902,3.4,81.4,0.6425
957,4.2,77.0,0.6439
973,3.5,80.8,0.6406
1074,3.5,80.3,0.6366
1115,4.0,78.5,0.645
1136,4.5,76.6,0.6534
1128,5.6,72.3,0.6627
1196,7.5,64.4,0.672
1267,8.9,60.8,0.6921
1355,10.6,55.3,0.7058
1194,12.3,46.3,0.6597
1188,12.2,47.0,0.6686
1279,10.5,55.1,0.6993
1361,8.7,66.3,0.7491
1474,7.9,69.9,0.7487
1235,7.6,65.3,0.6842
1289,6.5,67.6,0.6608
1124,5.9,66.4,0.6226
1231,5.2,70.0,0.6232
1289,5.2,67.8,0.6028
1166,4.9,67.1,0.5863
1062,5.1,65.5,0.5811
1028,4.0,69.5,0.5706
1003,3.7,68.9,0.5549
929,4.5,62.7,0.5343
951,4.7,62.3,0.5368
1011,3.9,67.1,0.5483
939,5.7,54.5,0.5034
946,6.1,50.3,0.4769
841,9.0,39.5,0.4554
850,10.7,34.4,0.4406
831,11.1,33.4,0.4401
866,11.9,30.8,0.4285
819,11.4,32.0,0.431
833,11.3,32.5,0.4334
877,11.0,33.0,0.4331
892,10.3,35.0,0.4377
899,8.4,40.9,0.4542
1008,8.3,38.5,0.4228
1013,8.1,37.9,0.41
912,7.7,39.0,0.4106
907,7.0,41.5,0.4193
953,6.6,42.6,0.4179
916,6.4,44.2,0.428
894,6.0,46.0,0.4349
895,4.4,53.1,0.4484
845,4.0,54.3,0.4454
837,3.7,55.8,0.4489
795,2.6,58.6,0.4385
874,3.2,56.0,0.4364
920,3.6,55.4,0.4419
1257,1.8,63.3,0.4464
1222,2.4,60.2,0.4426
1196,4.6,52.1,0.4472
1214,8.2,40.5,0.4414
1149,10.5,34.7,0.4393
1166,11.1,33.3,0.4384
1170,11.1,32.6,0.4292
1176,12.4,28.3,0.4076
1147,12.9,24.5,0.363
1294,11.4,28.7,0.3865
1683,9.2,39.3,0.4573
1615,7.8,48.1,0.5115
1256,7.2,50.6,0.517
1205,6.0,53.3,0.5008
1087,5.3,55.0,0.4921
1092,4.2,58.1,0.4832
1039,3.4,60.9,0.4809
1001,3.0,60.2,0.4639
925,3.2,58.8,0.4578
880,3.3,57.7,0.4516
873,4.5,53.8,0.4572
880,3.1,59.7,0.4604
950,4.2,57.1,0.4743
1039,3.4,58.5,0.4608
1284,3.9,57.3,0.4661
1350,4.3,56.8,0.4768
1476,5.6,52.9,0.4841
1342,5.5,54.9,0.4985
1488,5.1,64.3,0.5697
1557,5.5,66.1,0.601
1610,5.5,69.3,0.6331
1583,5.0,75.5,0.6667
1620,5.2,76.2,0.6796
1605,5.3,77.4,0.6954
1604,5.0,79.6,0.7022
1582,5.1,83.0,0.7352
1523,6.4,82.9,0.8022
1172,10.3,74.0,0.9237
1021,11.3,71.8,0.9577
1125,9.8,81.9,0.9923
1197,9.5,83.8,0.9972
1174,9.9,81.0,0.9885
1106,9.9,79.8,0.9725
873,6.9,76.4,0.7661
828,4.8,75.7,0.659
830,4.7,78.9,0.682
840,5.0,75.0,0.6627
909,5.6,69.5,0.6362
1098,7.0,64.9,0.6512
1036,7.1,65.4,0.6644
912,6.4,67.4,0.6537
873,5.3,75.9,0.6824
889,6.3,73.0,0.7024
965,8.6,63.3,0.7073
1009,10.0,55.0,0.6753
918,9.4,53.6,0.6333
920,9.2,55.0,0.6402
923,8.7,55.1,0.6228
1021,8.9,54.4,0.62
998,8.6,53.6,0.5992
1061,9.0,50.4,0.5809
1016,9.2,49.8,0.5808
859,8.8,52.1,0.5918
945,8.8,50.9,0.5781
937,8.7,51.1,0.5755
876,8.6,51.5,0.5772
831,8.5,51.9,0.5766
828,8.1,53.1,0.5742
810,7.8,54.2,0.5755
822,7.1,56.0,0.569
898,7.0,57.6,0.5784
909,7.5,55.3,0.5734
1256,7.0,56.3,0.566
1298,7.6,53.5,0.5605
1326,8.3,50.5,0.5558
1139,12.4,37.1,0.5329
1135,13.9,32.3,0.5117
1117,14.4,28.9,0.4723
1094,14.8,25.4,0.4259
982,15.1,20.8,0.3536
1107,15.4,23.5,0.4076
1290,13.7,28.1,0.4381
1445,11.5,37.5,0.5068
1357,10.4,42.3,0.5337
1248,9.9,44.0,0.5381
1220,8.7,48.3,0.5458
1137,8.1,49.9,0.5417
1102,7.3,52.8,0.5419
1082,8.0,52.2,0.5623
1053,6.8,56.4,0.5609
1003,6.7,57.4,0.5654
1019,5.9,62.1,0.5806
1071,5.4,65.9,0.5947
1118,5.5,66.5,0.6054
1206,5.9,65.8,0.6178
1256,6.4,63.9,0.6192
1501,7.2,62.2,0.6351
1578,7.9,60.0,0.6406
1427,8.3,58.5,0.6403
1440,9.3,54.5,0.6415
1522,10.2,53.1,0.6608
1517,11.1,51.4,0.679
1300,12.8,46.9,0.6919
1401,13.1,48.0,0.7181
1551,13.5,51.5,0.793
1411,13.4,51.2,0.7808
1434,12.1,55.3,0.7777
1489,12.0,56.5,0.7924
1835,10.4,64.4,0.8123
1804,9.4,69.1,0.815
1579,8.9,71.0,0.8115
1508,8.1,73.8,0.7968
1535,7.3,76.8,0.7904
1395,7.3,76.7,0.7862
1392,7.1,77.3,0.7826
1326,6.7,78.7,0.7779
1297,7.0,77.8,0.7848
1331,5.7,80.5,0.7416
1288,5.2,81.4,0.7276
1322,5.6,80.4,0.7349
1390,6.3,78.8,0.7544
1443,6.9,76.9,0.7682
1496,9.2,67.7,0.79
1439,11.6,59.8,0.8152
1432,14.0,52.0,0.8288
1398,15.0,50.2,0.8495
1380,14.9,49.9,0.8394
1022,15.8,33.8,0.6034
973,15.4,29.3,0.5068
951,14.4,25.7,0.4193
987,13.4,27.2,0.4157
1100,12.2,28.7,0.4077
1064,11.3,25.7,0.3422
1316,9.7,31.9,0.3848
1262,8.4,36.5,0.4035
1259,8.2,36.8,0.4016
1166,8.0,36.0,0.3872
1066,7.0,39.9,0.4006
1051,5.7,44.3,0.4093
992,4.7,46.6,0.4025
969,4.2,50.8,0.4234
862,4.6,45.1,0.3861
859,2.7,53.3,0.4006
849,3.1,51.0,0.3947
879,2.5,54.1,0.4017
956,3.1,53.5,0.4123
1039,5.0,47.5,0.418
1066,5.8,43.4,0.4032
1124,7.1,42.8,0.4327
1160,7.9,41.6,0.4459
1110,8.1,41.2,0.448
1138,8.3,41.3,0.4533
1095,8.9,49.1,0.5629
1045,7.1,66.0,0.6678
1078,5.7,75.1,0.6942
1169,5.4,77.6,0.7031
1174,5.4,78.2,0.7074
1075,7.3,68.1,0.6979
1044,5.8,74.4,0.6924
1110,6.2,72.3,0.6887
1086,5.9,72.7,0.6791
1092,5.0,76.5,0.6728
1127,4.0,80.4,0.663
881,5.8,59.0,0.5493
831,5.8,59.5,0.5519
791,6.6,51.3,0.5026
836,7.0,47.2,0.4745
907,6.6,47.9,0.4686
1174,7.2,49.8,0.5061
1094,6.9,52.8,0.5293
992,8.7,46.7,0.5249
955,10.0,40.6,0.4971
959,11.8,35.4,0.4877
981,10.7,37.2,0.4788
947,10.9,34.9,0.456
1023,10.7,33.1,0.4256
1009,10.6,34.2,0.4375
1007,8.9,38.1,0.4341
1054,7.8,39.7,0.4206
1018,7.3,42.2,0.4341
976,6.9,42.5,0.4257
872,6.6,43.2,0.4247
805,6.4,41.7,0.4034
800,6.1,42.6,0.4041
785,5.9,41.8,0.3928
757,5.7,41.5,0.3836
751,5.5,42.4,0.3867
766,4.5,52.0,0.4436
759,4.3,51.6,0.4323
758,3.7,56.3,0.453
761,3.3,58.1,0.4559
762,3.9,47.3,0.3862
869,4.3,45.9,0.3843
938,4.2,50.1,0.4168
951,3.4,62.7,0.4943
892,5.0,51.4,0.4534
876,5.7,44.1,0.4063
872,5.2,44.5,0.3968
893,4.7,48.6,0.4194
879,4.5,51.0,0.4327
896,5.1,50.1,0.4432
909,5.0,50.4,0.443
958,4.3,56.4,0.4721
984,4.3,56.7,0.476
991,4.3,57.0,0.4771
881,3.5,60.3,0.4782
853,4.1,52.5,0.4351
804,3.9,50.6,0.4127
788,3.9,47.7,0.3901
788,4.0,47.8,0.3939
763,3.9,50.9,0.4144
771,3.0,57.7,0.4423
747,3.3,52.8,0.4137
744,2.7,53.9,0.4062
774,2.8,54.4,0.411
800,3.6,49.0,0.3915
896,3.3,50.2,0.3934
913,3.5,47.5,0.3778
871,4.3,49.4,0.4136
872,4.5,48.4,0.4131
858,4.3,50.0,0.4199
876,4.3,49.7,0.4166
900,4.9,45.3,0.3955
864,5.6,42.4,0.3884
902,5.7,43.1,0.3984
916,4.8,49.7,0.4305
1004,5.1,43.0,0.3821
1024,5.3,44.4,0.397
1011,4.9,47.9,0.418
1006,4.7,50.8,0.4398
913,4.6,54.8,0.4704
905,4.0,56.8,0.4688
872,4.2,46.8,0.39
843,4.5,42.0,0.3571
863,4.1,42.1,0.3487
791,4.5,39.7,0.3379
769,4.4,42.2,0.3571
778,4.1,45.9,0.3804
801,4.3,42.5,0.3556
827,4.6,38.1,0.3267
1038,4.6,39.4,0.3367
1040,4.8,41.9,0.3634
980,5.9,40.2,0.376
912,7.0,38.4,0.3861
887,6.6,40.2,0.3944
922,6.6,41.2,0.4046
928,7.3,36.8,0.3779
921,7.3,35.0,0.3584
905,7.0,33.5,0.3367
906,6.5,32.4,0.3155
981,5.7,33.9,0.3131
1053,5.0,36.1,0.3178
1086,4.7,38.3,0.3306
967,4.5,39.9,0.339
902,4.3,41.1,0.3451
916,4.0,43.1,0.3551
895,3.7,46.0,0.3701
866,3.3,47.4,0.3716
861,3.0,49.1,0.3774
845,3.5,48.0,0.3822
849,3.6,48.0,0.3835
818,4.0,47.8,0.3919
864,4.1,48.1,0.3975
856,4.1,47.4,0.3926
1024,4.2,48.7,0.4073
1050,4.1,49.8,0.4117
984,4.3,48.4,0.4043
990,4.6,49.7,0.4271
970,4.5,49.6,0.421
943,4.4,48.4,0.4087
994,4.7,47.2,0.4075
932,4.2,49.5,0.4118
891,3.4,50.7,0.3991
793,1.9,49.7,0.3528
790,1.6,52.9,0.3692
776,1.4,53.8,0.3687
766,1.0,54.7,0.3657
774,1.4,52.3,0.3591
801,1.6,51.0,0.3561
847,1.4,53.1,0.3642
874,1.7,54.1,0.3785
879,2.5,51.0,0.3778
888,2.9,48.7,0.3706
873,3.6,45.8,0.3674
877,3.1,48.1,0.3722
893,3.4,46.6,0.3668
866,3.7,45.8,0.3697
873,4.4,43.7,0.3688
911,4.0,44.9,0.3689
908,3.3,46.8,0.3671
907,3.1,48.1,0.3707
925,2.8,49.0,0.37
920,3.1,47.4,0.3661
865,2.9,49.0,0.3725
867,2.8,49.1,0.3726
900,2.9,49.7,0.3782
901,3.8,46.5,0.3762
863,3.2,46.9,0.3658
884,3.1,45.2,0.3504
873,3.1,44.8,0.3473
806,3.1,44.4,0.342
801,3.0,43.4,0.3337
790,2.8,43.8,0.3308
805,2.7,43.2,0.3259
843,3.3,42.3,0.3299
849,4.6,39.0,0.333
872,5.6,37.5,0.3426
890,7.2,34.2,0.3488
874,6.9,35.6,0.3561
863,8.2,30.1,0.3281
840,7.6,27.9,0.2927
845,7.9,25.9,0.2774
888,7.8,28.3,0.3017
845,6.3,28.8,0.2772
880,5.4,30.1,0.2726
917,5.0,31.1,0.273
927,4.6,33.8,0.2898
868,4.3,36.6,0.3064
932,4.0,39.0,0.3203
971,2.9,42.8,0.3276
891,3.4,38.9,0.3076
806,4.0,36.4,0.2982
787,4.0,36.4,0.2989
791,3.7,37.7,0.3024
787,3.4,38.9,0.3075
814,3.7,37.5,0.3012
844,3.7,35.2,0.2833
1049,3.7,33.9,0.2732
1201,4.4,38.8,0.328
1293,6.6,34.4,0.3359
1121,10.0,22.4,0.2753
1112,11.9,18.6,0.2581
1060,12.5,17.2,0.2477
1056,13.2,17.3,0.2606
1131,13.5,18.7,0.2872
1162,14.1,18.2,0.2908
1283,13.0,20.3,0.303
1414,10.4,24.7,0.3116
1486,8.6,29.8,0.3344
1523,7.3,36.8,0.3771
1283,6.3,39.4,0.3795
1109,5.4,43.5,0.3922
1055,5.1,45.6,0.4056
1038,4.2,49.4,0.412
996,4.1,50.1,0.415
995,4.1,51.5,0.4263
1000,3.7,57.5,0.4621
1042,2.5,64.8,0.4807
1042,1.8,68.9,0.4878
1024,2.0,64.9,0.4661
1147,2.2,65.3,0.473
1496,3.1,64.0,0.4938
1541,3.7,61.7,0.4967
1491,4.4,58.8,0.4979
1533,5.8,54.1,0.502
1507,7.3,50.8,0.5226
1451,9.5,47.2,0.5589
1432,11.8,44.4,0.6118
1408,12.7,45.5,0.6648
1377,13.5,44.8,0.6898
1454,12.3,48.9,0.6967
1268,10.8,40.3,0.5201
1259,9.4,36.7,0.4324
1261,8.3,39.5,0.4318
1133,7.8,41.3,0.4389
1054,7.3,43.8,0.4505
1055,6.7,47.6,0.4688
1059,6.6,51.2,0.5007
1063,6.4,52.6,0.5074
1135,5.3,57.8,0.5177
1126,3.4,66.7,0.5281
1058,3.3,66.8,0.5215
1040,3.7,62.9,0.5059
1069,2.6,67.5,0.5034
1042,3.5,60.9,0.4857
1322,2.7,63.4,0.4787
1549,2.8,64.2,0.4859
1416,5.8,53.1,0.4942
1337,9.7,40.1,0.4832
1281,12.7,30.0,0.4398
1037,13.7,20.7,0.3221
1028,13.7,19.9,0.3114
984,14.1,18.1,0.2884
1010,14.5,18.0,0.2956
1113,13.2,20.4,0.3074
1253,10.5,25.1,0.3194
1400,8.9,31.4,0.3597
1470,8.2,36.2,0.3953
1281,6.7,39.6,0.3906
1084,5.8,42.0,0.3904
1097,4.9,45.9,0.3999
1032,4.5,47.9,0.4079
1046,3.9,51.6,0.4226
975,3.4,54.7,0.4323
932,3.3,56.1,0.4379
926,2.0,60.8,0.4337
932,1.2,63.7,0.4327
937,2.1,60.3,0.4368
996,1.3,63.1,0.4322
1382,1.3,64.8,0.441
1544,2.1,62.2,0.4491
1429,5.1,50.8,0.4499
1312,8.5,39.7,0.4425
1205,11.5,33.0,0.4476
1322,12.2,34.3,0.4864
1301,13.5,35.0,0.5396
1280,14.9,34.9,0.5869
1256,15.7,34.5,0.6111
1358,14.7,37.2,0.618
1713,12.2,44.8,0.6342
1655,10.3,52.4,0.6578
1444,9.3,55.5,0.6503
1314,8.3,57.6,0.6304
1368,6.3,65.1,0.6237
1195,6.5,63.1,0.6132
1083,6.0,62.7,0.589
1055,5.1,65.4,0.5797
973,4.7,64.6,0.5568
1039,2.9,72.2,0.5523
949,5.0,63.5,0.5575
920,3.9,65.5,0.5367
989,1.8,74.5,0.5271
1100,1.8,73.7,0.5198
1411,2.3,70.9,0.5182
1328,4.4,61.1,0.5176
1308,7.7,49.8,0.5267
1280,12.1,36.9,0.5212
1056,15.0,28.5,0.4821
1019,14.5,28.3,0.4665
1084,12.9,31.8,0.4707
998,12.1,32.3,0.4548
987,11.3,33.5,0.4476
1079,11.4,32.6,0.4373
1096,9.1,37.8,0.4372
1146,8.1,41.0,0.4458
1125,7.7,41.9,0.4409
1130,7.1,43.9,0.4433
1017,6.3,45.8,0.4408
1017,6.0,46.1,0.4351
1041,5.5,49.0,0.4471
1034,4.9,52.0,0.4548
1009,4.1,54.7,0.4536
1105,2.1,64.2,0.4633
1084,1.5,66.2,0.4571
989,1.0,67.7,0.4523
1047,0.8,69.9,0.4591
1091,1.3,67.2,0.4598
1263,2.0,63.6,0.4564
1165,4.1,52.7,0.4345
966,7.5,39.2,0.4091
927,9.0,34.5,0.398
909,9.2,34.5,0.4025
941,9.3,33.8,0.3981
903,9.3,33.1,0.3874
891,9.7,30.8,0.3716
904,9.6,31.1,0.3718
900,8.6,32.8,0.3669
926,7.2,35.0,0.3567
999,6.4,36.8,0.3566
994,6.0,40.2,0.3773
1010,5.5,42.6,0.3874
938,4.9,43.7,0.3809
983,4.2,43.2,0.3605
963,4.0,39.2,0.3228
962,3.7,40.1,0.323
980,3.1,47.1,0.3638
914,2.6,48.8,0.3658
898,0.8,53.8,0.3542
854,1.2,51.9,0.3515
838,1.0,52.2,0.3489
831,0.6,53.3,0.3467
